,Algorithm,Components,Clusters,Homogeneity,WCSS,Time
0,PCA,34,3,0.10218185469363561,70099.91146192871,0.2607151999999928
0,PCA,35,3,0.10246914732094514,71418.57499390598,0.21017259999999283
0,PCA,36,3,0.10179049561425414,72709.55273252184,0.2868832999999995
0,PCA,37,3,0.1011640399093091,73992.0025650033,0.2908261999999979
0,PCA,38,3,0.10194278870132453,75259.77932289049,0.3132844000000148
0,PCA,39,3,0.10197391440662312,76515.90034329359,0.295047100000005
0,PCA,40,3,0.10197282250524745,77749.55719510734,0.29546830000001023
0,PCA,41,3,0.10131645651095175,78973.50894838222,0.29273209999999494
0,PCA,42,3,0.10201867975851917,80182.61693411684,0.3688306999999895
0,PCA,43,3,0.1020244976415029,81378.89211798244,0.3759232999999824
0,PCA,44,3,0.10191022378847603,82562.74075131961,0.30821329999997715
0,PCA,45,3,0.10204121009448684,83731.19680578855,0.2780343000000016
0,PCA,46,3,0.10223270330589344,84895.29366605046,0.33208479999998985
0,PCA,47,3,0.10146888391863783,86047.58168297021,0.35944229999998356
0,PCA,48,3,0.1011677410170329,87183.25231667068,0.296161699999999
0,PCA,49,3,0.10148194512067217,88313.13664394364,0.2878158000000042
0,PCA,1,4,0.05759629850002714,916.0123606167831,0.11434969999999112
0,PCA,2,4,0.08805756001774426,4455.946283876156,0.1302694000000031
0,PCA,3,4,0.12201579346331715,8027.397213430188,0.09230809999999678
0,PCA,4,4,0.11837261600568326,11331.668988623147,0.09906730000000152
0,PCA,5,4,0.11935403999880825,14570.162951879509,0.16010769999999752
0,PCA,6,4,0.11934832382744444,17314.65150378858,0.17487859999999955
0,PCA,7,4,0.11946708626350142,19949.238164027,0.1829403000000127
0,PCA,8,4,0.11843659777046242,22353.989180289474,0.18626689999999257
0,PCA,9,4,0.11804275669023671,24711.08088619663,0.20057140000000118
0,PCA,10,4,0.11791025969788312,27007.10553938248,0.16322409999997944
0,PCA,11,4,0.11781347544518395,29155.443923708735,0.18473360000001549
0,PCA,12,4,0.11812066316357492,31236.983817848846,0.14765769999999634
0,PCA,13,4,0.11815905340858457,33305.06130544484,0.197006000000016
0,PCA,14,4,0.1184656697149374,35335.35857319239,0.16422799999998006
0,PCA,15,4,0.11870952646088348,37324.782621858925,0.22635700000000725
0,PCA,16,4,0.11918718628839022,39280.48762172297,0.24045079999999075
0,PCA,17,4,0.11891950746053621,41163.33904579522,0.22386370000000966
0,PCA,18,4,0.12056025461755275,42980.8739392336,0.15074820000000955
0,PCA,19,4,0.12014205153677282,44787.61509862697,0.226963899999987
0,PCA,20,4,0.11943207121246159,46534.11167150844,0.186167399999988
0,PCA,21,4,0.11968345397895123,48252.08323937726,0.27495609999999715
0,PCA,22,4,0.11929985398104696,49927.24739691245,0.19354949999998894
0,PCA,23,4,0.11937245522251176,51554.73463554471,0.20462380000000735
0,PCA,24,4,0.11922343902437912,53174.059575350046,0.28114450000001057
0,PCA,25,4,0.11926733364119203,54733.90484785694,0.23089630000001193
0,PCA,26,4,0.11925286240401922,56288.53582581992,0.2641785000000141
0,PCA,27,4,0.11894753928797798,57804.067617277506,0.3049292000000037
0,PCA,28,4,0.11919614583275234,59315.13603410846,0.29049499999999284
0,PCA,29,4,0.11987348984216818,60774.412729987205,0.25871910000000753
0,PCA,30,4,0.11938603908563386,62190.92349468015,0.311398099999991
0,PCA,31,4,0.11907933154294988,63604.983843166665,0.2905964999999924
0,PCA,32,4,0.11929448684426779,64984.496377260824,0.29744139999999675
0,PCA,33,4,0.11927790084007353,66351.34865378418,0.3068279000000018
0,PCA,34,4,0.11921856865172112,67679.85338067877,0.2818450000000041
0,PCA,35,4,0.11962328422892374,68996.60943754182,0.33631079999997837
0,PCA,36,4,0.1194172964108068,70286.63260313483,0.34677709999999706
0,PCA,37,4,0.11906067828877785,71568.79005276995,0.31616740000001187
0,PCA,38,4,0.1194680548272713,72836.61058620218,0.33946280000000684
0,PCA,39,4,0.11936299194232315,74091.82580492376,0.2995424000000071
0,PCA,40,4,0.11935730755611014,75324.64153476017,0.3361577000000011
0,PCA,41,4,0.11951202964189747,76548.04944185125,0.40266410000000974
0,PCA,42,4,0.11904496649771688,77757.18658431029,0.3349833999999987
0,PCA,43,4,0.11951306860755509,78953.11840051686,0.3329158000000234
0,PCA,44,4,0.11924119045066198,80136.69146170982,0.3494673000000148
0,PCA,45,4,0.11936841588398248,81304.43200577862,0.3709532000000024
0,PCA,46,4,0.11918382267081928,82468.08541358661,0.35630019999999263
0,PCA,47,4,0.11932790373598832,83620.29724061984,0.33033089999997856
0,PCA,48,4,0.11980350893347565,84755.85659026373,0.3771607999999844
0,PCA,49,4,0.11923365955081412,85884.86107289522,0.39952919999998926
0,PCA,1,5,0.05941359914498745,609.0899099560289,0.11068469999997887
0,PCA,2,5,0.09777844308078071,3663.337203252503,0.14291130000000862
