,Algorithm,Components,Clusters,Homogeneity,WCSS,Time
0,PCA,3,11,0.2918515410231593,742.3165096303085,0.12766449999999452
0,PCA,3,12,0.2919104485210158,562.5686458345047,0.17192570000000273
0,PCA,3,13,0.29767713274255847,422.7424094326162,0.14449829999999508
0,PCA,3,14,0.29843188567387613,340.206243214731,0.15334489999999334
0,PCA,3,15,0.30276452891107386,276.23700638208567,0.18583950000000016
0,PCA,3,16,0.3081768064074191,218.29369335988466,0.16180140000000165
0,PCA,3,17,0.3261317618127096,164.9444021956669,0.15867009999999482
0,PCA,3,18,0.3274917656372377,115.18746668222882,0.173132300000006
0,PCA,3,19,0.32881501063853036,74.27418191107374,0.2069385000000068
0,PCA,4,1,0.0,20219.390852273365,0.019274599999988595
0,PCA,4,2,0.08071415180779319,12430.338612747037,0.0324750999999992
0,PCA,4,3,0.11645759356210147,9540.969358503102,0.06037870000000112
0,PCA,4,4,0.1500085646948606,7176.497260345187,0.07633690000000115
0,PCA,4,5,0.17647264936642132,5963.0058712907385,0.06404949999999587
0,PCA,4,6,0.1831282523313144,5021.524599150966,0.0999180000000024
0,PCA,4,7,0.1678380773060128,4353.682552905317,0.09343210000000113
0,PCA,4,8,0.25369045274816887,3768.1543933978505,0.14678010000000086
0,PCA,4,9,0.2606912326160558,3363.316421826971,0.10259109999999794
0,PCA,4,10,0.2857022006853135,2909.56529517181,0.1362864999999971
0,PCA,4,11,0.29718198133023394,2523.857570613002,0.14090979999998865
0,PCA,4,12,0.2618121315552839,2287.5356987910104,0.15257880000000057
0,PCA,4,13,0.29758136728827767,1974.4830894349866,0.13241789999999298
0,PCA,4,14,0.28829240849794574,1714.8014522744766,0.18006559999999183
0,PCA,4,15,0.29281644445655625,1527.3045024995854,0.1669371000000126
0,PCA,4,16,0.2957928617280223,1295.2858001987158,0.17361010000000476
0,PCA,4,17,0.284853232789122,1159.8129053572657,0.1925036000000091
0,PCA,4,18,0.2916540395101452,1042.4516482399524,0.1888068999999888
0,PCA,4,19,0.3030345766341179,960.1953762416807,0.20991749999998888
0,PCA,5,1,0.0,22805.651972227814,0.03822059999998828
