,Algorithm,Components,Clusters,AccuracyIn,AccuracyOut,Time
0,PCA,9,4,0.6019375,0.61275,0.23123150000000692
0,PCA,9,5,0.7495625,0.75075,0.43812350000001743
0,PCA,9,6,0.5,0.5,0.7467760000000112
0,PCA,9,7,0.63125,0.63975,1.0100947000000247
0,PCA,9,8,0.6615625,0.66275,0.6033308999999747
0,PCA,9,9,0.751,0.7525,0.7391977999999995
0,PCA,9,10,0.636875,0.6385,0.6019484999999918
0,PCA,9,11,0.753125,0.75225,1.8546956000000137
0,PCA,9,12,0.7516875,0.75125,2.3225596999999993
0,PCA,9,13,0.5,0.5,2.08085539999999
0,PCA,9,14,0.745375,0.749,1.9708445999999924
0,PCA,9,15,0.7588125,0.7615,2.298092099999991
0,PCA,9,16,0.7615,0.7635,2.067446899999993
0,PCA,9,17,0.6735625,0.67475,2.35065019999999
0,PCA,9,18,0.76775,0.771,1.9373356000000115
0,PCA,9,19,0.5,0.5,2.6658457000000055
0,PCA,10,0,0.8120625,0.81025,9.173317499999996
0,PCA,10,1,0.5,0.5,0.0884424999999851
0,PCA,10,2,0.5,0.5,0.27442360000000576
0,PCA,10,3,0.6485,0.64975,0.22756899999998836
0,PCA,10,4,0.7258125,0.727,0.4441874999999982
0,PCA,10,5,0.6976875,0.70375,0.6582439999999963
0,PCA,10,6,0.5,0.5,0.7610768000000121
0,PCA,10,7,0.7495625,0.75075,0.5030413000000067
0,PCA,10,8,0.7495625,0.75075,1.2611390000000142
0,PCA,10,9,0.74325,0.747,1.5806934999999953
0,PCA,10,10,0.657625,0.66275,1.612304000000023
0,PCA,10,11,0.745875,0.748,1.8126839000000246
0,PCA,10,12,0.746125,0.74875,1.9394010999999978
0,PCA,10,13,0.5600625,0.5565,1.9571178999999859
0,PCA,10,14,0.7615625,0.76175,2.53719270000002
0,PCA,10,15,0.7615625,0.76175,2.2896047000000124
0,PCA,10,16,0.764625,0.76325,2.345960400000024
0,PCA,10,17,0.762875,0.762,2.7697933000000035
0,PCA,10,18,0.767,0.767,3.393170800000007
0,PCA,10,19,0.5,0.5,3.3686480000000074
0,PCA,11,0,0.8015,0.79825,0.795303500000017
0,PCA,11,1,0.5,0.5,0.09435120000000552
0,PCA,11,2,0.5,0.5,0.1522224999999935
0,PCA,11,3,0.6485,0.64975,0.22367170000001124
0,PCA,11,4,0.6485,0.64975,0.32227180000001
0,PCA,11,5,0.7495625,0.75075,0.35600549999998066
0,PCA,11,6,0.5,0.5,0.3541589000000158
0,PCA,11,7,0.7545625,0.75375,0.42831979999999703
0,PCA,11,8,0.6610625,0.6685,0.5932071000000292
0,PCA,11,9,0.741375,0.739,1.4413347999999928
0,PCA,11,10,0.7495625,0.75075,1.0159871999999837
0,PCA,11,11,0.6933125,0.70025,0.7842784999999708
0,PCA,11,12,0.773875,0.77325,1.0421015000000011
