,Algorithm,Components,Clusters,AccuracyIn,AccuracyOut,Time
0,PCA,14,0,0.7949375,0.797,0.7520295000000203
0,PCA,14,1,0.5,0.5,0.03260660000000826
0,PCA,14,2,0.5,0.5,0.03380599999999845
0,PCA,14,3,0.6599375,0.658,0.12587620000002175
0,PCA,14,4,0.7533125,0.75525,0.10158160000000294
0,PCA,14,5,0.7495625,0.75075,0.23972140000000763
0,PCA,14,6,0.5,0.5,0.029167800000010402
0,PCA,14,7,0.7545625,0.75375,0.13583249999999225
0,PCA,14,8,0.742875,0.74025,0.14201259999998683
0,PCA,14,9,0.758875,0.76075,0.18779250000000047
0,PCA,14,10,0.52475,0.52925,0.25617190000002665
0,PCA,14,11,0.747,0.74425,0.120869899999974
0,PCA,14,12,0.7659375,0.76375,0.19660589999998024
0,PCA,14,13,0.5,0.5,0.050716700000009496
0,PCA,14,14,0.763625,0.7625,0.1860932999999818
0,PCA,14,15,0.65575,0.661,0.15402379999997606
0,PCA,14,16,0.77025,0.76925,0.47848220000000197
0,PCA,14,17,0.7738125,0.771,0.6485799000000156
0,PCA,14,18,0.767375,0.77325,1.0060257000000092
0,PCA,14,19,0.5,0.5,0.03367489999999407
0,PCA,15,0,0.795625,0.79725,0.794835599999999
0,PCA,15,1,0.5,0.5,0.030723199999982853
0,PCA,15,2,0.5,0.5,0.03291380000001709
0,PCA,15,3,0.6485,0.64975,0.08158000000000243
0,PCA,15,4,0.6485,0.64975,0.0937404000000015
0,PCA,15,5,0.721375,0.7265,0.08967669999998407
0,PCA,15,6,0.5,0.5,0.027876800000001367
0,PCA,15,7,0.7449375,0.74375,0.09606759999999781
0,PCA,15,8,0.6483125,0.6425,0.07902089999998907
0,PCA,15,9,0.5386875,0.53425,0.15166039999999725
0,PCA,15,10,0.7521875,0.75025,0.40218169999999986
0,PCA,15,11,0.611375,0.60425,0.10418950000001814
0,PCA,15,12,0.5165625,0.513,0.0841186000000107
0,PCA,15,13,0.7844375,0.7845,0.22355909999998858
0,PCA,15,14,0.772625,0.7755,0.1656002000000001
0,PCA,15,15,0.7669375,0.76525,0.2620774000000097
0,PCA,15,16,0.77175,0.77275,0.6097757000000001
0,PCA,15,17,0.7553125,0.75475,0.3922647999999924
0,PCA,15,18,0.5583125,0.5615,0.16337680000000887
0,PCA,15,19,0.5,0.5,0.03527769999999464
0,PCA,16,0,0.7989375,0.79975,2.1847865000000013
0,PCA,16,1,0.5,0.5,0.03431069999999181
0,PCA,16,2,0.5,0.5,0.03148880000000531
0,PCA,16,3,0.6599375,0.658,0.12826409999999555
0,PCA,16,4,0.6599375,0.658,0.09166289999998867
0,PCA,16,5,0.7495625,0.75075,0.1590543000000082
0,PCA,16,6,0.5,0.5,0.029286799999994173
0,PCA,16,7,0.7495625,0.75075,0.10381739999999695
0,PCA,16,8,0.6153125,0.62675,0.11580520000001115
0,PCA,16,9,0.6593125,0.6495,0.22333679999999845
0,PCA,16,10,0.60525,0.5935,0.10280309999998849
0,PCA,16,11,0.7411875,0.73225,0.26518899999999235
0,PCA,16,12,0.763625,0.7625,0.17517939999999044
0,PCA,16,13,0.5,0.5,0.04140129999998976
0,PCA,16,14,0.760875,0.76175,0.1598628000000133
0,PCA,16,15,0.7731875,0.77225,1.1861971000000153
0,PCA,16,16,0.7709375,0.76975,1.3977193999999997
0,PCA,16,17,0.640625,0.6365,0.11721980000001508
0,PCA,16,18,0.76975,0.76875,0.36946439999999825
0,PCA,16,19,0.7648125,0.7685,0.3060932000000207
0,PCA,17,0,0.8180625,0.8135,2.913810600000005
0,PCA,17,1,0.5,0.5,0.03080839999998375
0,PCA,17,2,0.5,0.5,0.034125499999987596
0,PCA,17,3,0.6485,0.64975,0.08516940000001227
0,PCA,17,4,0.6485,0.64975,0.18833949999998367
0,PCA,17,5,0.6128125,0.614,0.0729906999999912
0,PCA,17,6,0.5,0.5,0.030745199999984152
0,PCA,17,7,0.749375,0.75025,0.09009660000000963
0,PCA,17,8,0.74525,0.747,0.0902251999999919
0,PCA,17,9,0.6449375,0.6455,0.11048370000000318
0,PCA,17,10,0.74025,0.74025,0.14820320000001175
0,PCA,17,11,0.644,0.629,0.09699679999999944
0,PCA,17,12,0.564875,0.5635,0.14723749999998859
0,PCA,17,13,0.5,0.5,0.05451610000000073
0,PCA,17,14,0.7650625,0.76375,0.18986979999999676
0,PCA,17,15,0.773375,0.7725,0.40877380000000585
0,PCA,17,16,0.765375,0.76325,0.21317059999998378
0,PCA,17,17,0.7103125,0.70475,0.15015970000001744
0,PCA,17,18,0.767875,0.76925,0.36195580000000405
0,PCA,17,19,0.5,0.5,0.04136600000001067
0,PCA,18,0,0.82575,0.8235,6.697566300000005
0,PCA,18,1,0.5,0.5,0.03369460000001823
0,PCA,18,2,0.5,0.5,0.0358161999999993
0,PCA,18,3,0.5,0.5,0.044793999999996004
0,PCA,18,4,0.6599375,0.658,0.10540729999999598
0,PCA,18,5,0.5324375,0.52225,0.12541780000000813
0,PCA,18,6,0.5,0.5,0.028142699999989418
0,PCA,18,7,0.7248125,0.7215,0.29616020000000276
0,PCA,18,8,0.7353125,0.73575,0.0965972999999849
0,PCA,18,9,0.7478125,0.7515,0.20250960000001328
0,PCA,18,10,0.77675,0.7755,0.1849581000000171
0,PCA,18,11,0.7495625,0.75075,0.2847155999999984
0,PCA,18,12,0.773875,0.77325,0.2172738999999808
0,PCA,18,13,0.758,0.7585,0.26866169999999556
0,PCA,18,14,0.773875,0.77325,1.5451525999999944
0,PCA,18,15,0.5955,0.59775,0.16514500000002386
0,PCA,18,16,0.765125,0.7655,0.15356429999999932
0,PCA,18,17,0.77325,0.772,0.35028459999998063
0,PCA,18,18,0.77325,0.772,0.4808296999999868
0,PCA,18,19,0.5,0.5,0.032338199999998096
0,PCA,19,0,0.8098125,0.8095,2.9130579000000125
0,PCA,19,1,0.5,0.5,0.03517890000000534
0,PCA,19,2,0.5,0.5,0.030833400000005895
0,PCA,19,3,0.6485,0.64975,0.08612329999999702
0,PCA,19,4,0.6485,0.64975,0.08106349999999907
0,PCA,19,5,0.63175,0.63375,0.07346860000001243
0,PCA,19,6,0.5,0.5,0.029506400000002486
0,PCA,19,7,0.7495625,0.75075,0.07116790000000606
0,PCA,19,8,0.7545625,0.75375,0.17839219999999045
0,PCA,19,9,0.7515,0.7475,0.1681566000000032
0,PCA,19,10,0.6030625,0.59625,0.11693909999999619
0,PCA,19,11,0.60075,0.58625,0.08523289999999406
0,PCA,19,12,0.698,0.69125,0.32165489999999863
0,PCA,19,13,0.5,0.5,0.04918189999997935
0,PCA,19,14,0.756,0.7555,0.16662379999999644
0,PCA,19,15,0.6080625,0.606,0.1554087000000095
0,PCA,19,16,0.7669375,0.76525,1.5055547000000047
0,PCA,19,17,0.7713125,0.7705,0.7704319999999996
0,PCA,19,18,0.7679375,0.77,0.3036798999999917
0,PCA,19,19,0.5,0.5,0.03493129999998246
0,PCA,20,0,0.8256875,0.82475,7.047299699999996
0,PCA,20,1,0.5,0.5,0.03249619999996867
0,PCA,20,2,0.5,0.5,0.03614140000001953
0,PCA,20,3,0.5114375,0.50825,0.051378699999986566
0,PCA,20,4,0.5,0.5,0.04280399999998963
0,PCA,20,5,0.721375,0.7265,0.13189539999996214
0,PCA,20,6,0.5,0.5,0.029710399999999026
0,PCA,20,7,0.5856875,0.5905,0.10611919999996644
0,PCA,20,8,0.7545625,0.75375,0.12812070000001086
0,PCA,20,9,0.7545625,0.75375,0.27783790000000863
0,PCA,20,10,0.7545625,0.75375,1.1029629999999884
0,PCA,20,11,0.755375,0.755,0.12417130000000043
0,PCA,20,12,0.751,0.75325,0.17451779999998962
0,PCA,20,13,0.5,0.5,0.06383130000000392
0,PCA,20,14,0.763875,0.7635,0.24299629999995886
0,PCA,20,15,0.7630625,0.76025,0.41075230000001284
0,PCA,20,16,0.755625,0.75475,1.2469495999999936
0,PCA,20,17,0.76675,0.76975,0.3760788999999818
0,PCA,20,18,0.7793125,0.7785,0.8066977999999949
0,PCA,20,19,0.5,0.5,0.032357900000022255
0,PCA,21,0,0.824125,0.82075,5.185682500000041
0,PCA,21,1,0.5,0.5,0.03288559999998597
0,PCA,21,2,0.5,0.5,0.031199200000003202
0,PCA,21,3,0.6599375,0.658,0.13020579999999882
0,PCA,21,4,0.6010625,0.601,0.09384500000004437
0,PCA,21,5,0.67875,0.68125,0.18127179999999044
0,PCA,21,6,0.5,0.5,0.026164900000026137
0,PCA,21,7,0.717125,0.7285,0.08376789999999801
0,PCA,21,8,0.7495625,0.75075,0.09854439999998021
0,PCA,21,9,0.7545625,0.75375,0.2026644000000033
0,PCA,21,10,0.721375,0.7265,0.19307600000001912
0,PCA,21,11,0.7445,0.74475,0.17605880000002117
0,PCA,21,12,0.7555,0.75075,0.49784740000001193
0,PCA,21,13,0.5,0.5,0.036403799999959574
0,PCA,21,14,0.756125,0.75325,0.20775889999998753
0,PCA,21,15,0.593125,0.58575,0.14960939999997436
0,PCA,21,16,0.7765625,0.7735,0.18871699999999691
0,PCA,21,17,0.77175,0.769,0.8638275999999792
0,PCA,21,18,0.7658125,0.76725,0.39479610000000775
0,PCA,21,19,0.7629375,0.762,0.2761107000000038
0,PCA,22,0,0.803125,0.79975,1.0285264000000325
0,PCA,22,1,0.5,0.5,0.034189000000026226
0,PCA,22,2,0.5,0.5,0.03744530000000168
0,PCA,22,3,0.5,0.5,0.046788100000014765
0,PCA,22,4,0.753125,0.75575,0.15428480000002764
0,PCA,22,5,0.7495625,0.75075,0.15518919999999525
0,PCA,22,6,0.5,0.5,0.02902939999995624
0,PCA,22,7,0.739375,0.74,0.1320456000000263
0,PCA,22,8,0.7495625,0.75075,0.13572869999995874
0,PCA,22,9,0.7421875,0.74475,0.25211629999995466
0,PCA,22,10,0.7498125,0.75475,0.1979322000000252
0,PCA,22,11,0.7253125,0.7225,0.12297780000000103
0,PCA,22,12,0.7551875,0.75425,0.46874909999996817
0,PCA,22,13,0.7589375,0.7655,0.32463910000001306
0,PCA,22,14,0.77325,0.7725,0.2068434000000252
0,PCA,22,15,0.658,0.654,0.170856600000036
0,PCA,22,16,0.7748125,0.7725,1.3407392999999956
0,PCA,22,17,0.652875,0.654,0.1150215999999773
0,PCA,22,18,0.7596875,0.7605,0.34859830000004877
0,PCA,22,19,0.5,0.5,0.03742579999999407
0,PCA,23,0,0.5,0.5,0.03372879999994893
0,PCA,23,1,0.5,0.5,0.032457600000043385
0,PCA,23,2,0.5,0.5,0.03614570000002004
0,PCA,23,3,0.7495625,0.75075,0.17780759999999418
0,PCA,23,4,0.6599375,0.658,0.13706700000000183
0,PCA,23,5,0.56175,0.54975,0.11352160000001277
0,PCA,23,6,0.5,0.5,0.03208039999998391
0,PCA,23,7,0.741375,0.742,0.12634930000001532
0,PCA,23,8,0.6589375,0.65475,0.09679419999997663
0,PCA,23,9,0.742875,0.74025,0.2655712000000108
0,PCA,23,10,0.7070625,0.7125,0.23584089999997104
0,PCA,23,11,0.758375,0.75325,0.12150489999999081
0,PCA,23,12,0.761625,0.7665,0.19728340000000344
0,PCA,23,13,0.604625,0.5975,0.22523039999998673
0,PCA,23,14,0.7844375,0.7845,0.21975050000003193
0,PCA,23,15,0.6631875,0.6735,0.14977599999997437
0,PCA,23,16,0.7650625,0.76375,2.2544902000000206
0,PCA,23,17,0.7715,0.775,0.6570670000000405
0,PCA,23,18,0.7758125,0.78125,0.37344740000003185
0,PCA,23,19,0.5,0.5,0.03417269999999917
0,PCA,24,0,0.5,0.5,0.02801700000003393
0,PCA,24,1,0.5,0.5,0.03140519999999469
0,PCA,24,2,0.5,0.5,0.03167439999998578
0,PCA,24,3,0.6485,0.64975,0.0769331000000193
0,PCA,24,4,0.6485,0.64975,0.3219573000000082
0,PCA,24,5,0.6599375,0.658,0.13313730000004398
0,PCA,24,6,0.5,0.5,0.027716300000008687
0,PCA,24,7,0.7495625,0.75075,0.08733039999998482
0,PCA,24,8,0.7495625,0.75075,0.12182730000000674
0,PCA,24,9,0.5296875,0.52875,0.24272409999997535
0,PCA,24,10,0.5219375,0.52275,0.25768799999997327
0,PCA,24,11,0.7694375,0.772,0.13083380000000489
0,PCA,24,12,0.7694375,0.772,0.4041655999999989
0,PCA,24,13,0.688125,0.681,0.26450700000003735
0,PCA,24,14,0.7844375,0.7845,0.21442079999997077
0,PCA,24,15,0.75425,0.75875,0.649517899999978
0,PCA,24,16,0.7650625,0.765,0.15699469999998428
0,PCA,24,17,0.7485,0.75075,0.5365333999999962
0,PCA,24,18,0.6553125,0.65475,0.15004010000001244
0,PCA,24,19,0.5,0.5,0.031403299999965384
0,PCA,25,0,0.82525,0.822,4.243792100000007
0,PCA,25,1,0.5,0.5,0.03195060000001604
0,PCA,25,2,0.5,0.5,0.030973800000026586
