,Algorithm,Components,Clusters,Homogeneity,Time
0,ICA,5,15,0.19571972859213943,0.9361832999993567
0,ICA,5,16,0.19560369799948987,0.6791838999997708
0,ICA,5,17,0.1962651810688797,0.8726995999995779
0,ICA,5,18,0.20070695011913003,0.9931582999997772
0,ICA,5,19,0.20395090829048684,0.9333030000007057
0,ICA,6,1,0.0,0.10251029999926686
0,ICA,6,2,0.03747278334951745,0.3385777000003145
0,ICA,6,3,0.06893908249760056,0.9992670000001453
0,ICA,6,4,0.12017180207157582,1.825406699999803
0,ICA,6,5,0.15355649522464426,0.9842968000002656
0,ICA,6,6,0.1542211912098119,1.1919597999994949
0,ICA,6,7,0.15826206550809965,2.915404000000308
0,ICA,6,8,0.16050092227039195,2.067590800000289
0,ICA,6,9,0.16701329038335963,1.9303730000001451
0,ICA,6,10,0.17359956750217423,1.2564425000000483
0,ICA,6,11,0.1849233169684391,1.0147627000005741
0,ICA,6,12,0.20304056577786278,0.9089057999999568
0,ICA,6,13,0.19212010205389612,1.405925500000194
0,ICA,6,14,0.2168341165112125,1.6226655000000392
0,ICA,6,15,0.21034390257791044,1.0255137999993167
0,ICA,6,16,0.22388659792674842,1.4903479000004154
0,ICA,6,17,0.23268701783187656,1.2001479999998992
0,ICA,6,18,0.23642345253020924,1.1892190999997183
0,ICA,6,19,0.2354363175285246,1.2700105000003532
0,ICA,7,1,0.0,0.18518740000035905
0,ICA,7,2,0.0393976045724516,0.9199570000000676
0,ICA,7,3,0.13724219077465485,0.763924599999882
0,ICA,7,4,0.08915854063769572,1.3978095000002213
0,ICA,7,5,0.13618405785677806,2.162981700000273
0,ICA,7,6,0.16158827482335383,1.3884072000000742
0,ICA,7,7,0.1803813246390588,0.8749815999999555
0,ICA,7,8,0.17990391862923066,1.0093096999999034
0,ICA,7,9,0.17624540808994918,0.8985809999994672
0,ICA,7,10,0.17876776127697103,0.7410916999997426
0,ICA,7,11,0.19695804299063777,0.8389236000002711
0,ICA,7,12,0.19735505734951914,1.7891259000007267
0,ICA,7,13,0.2078494066243208,1.531656799999837
0,ICA,7,14,0.21851726054180498,1.7637892000002466
0,ICA,7,15,0.23343337951165266,1.2579695000003994
0,ICA,7,16,0.23731975285592768,1.0809393999998065
0,ICA,7,17,0.2385654051614388,3.1943498000000545
0,ICA,7,18,0.2413845010414232,3.0023596999999427
0,ICA,7,19,0.24812528938968317,1.161405000000741
0,ICA,8,1,0.0,0.0636449999992692
0,ICA,8,2,0.018787967486585806,0.14845729999979085
0,ICA,8,3,0.13643943042762993,0.16720450000048004
0,ICA,8,4,0.11699673186967942,0.21907700000065233
0,ICA,8,5,0.14028340977146106,0.25712639999983367
0,ICA,8,6,0.13894618983444626,0.5986051999998381
0,ICA,8,7,0.15931311240574805,0.4303052999994179
0,ICA,8,8,0.16115112992942823,1.5726924999999028
0,ICA,8,9,0.1630041250041814,2.6320950999997876
0,ICA,8,10,0.18392980272364662,2.709859900000083
0,ICA,8,11,0.19472568951874733,3.30081969999992
0,ICA,8,12,0.2011882664451744,5.991076500000418
0,ICA,8,13,0.2085593079204735,5.235175900000286
0,ICA,8,14,0.2172936964915472,5.83141440000054
0,ICA,8,15,0.20131466081071048,10.549919500000215
0,ICA,8,16,0.21720770846560147,3.8486253000000943
0,ICA,8,17,0.22026784547094197,3.9862025000002177
0,ICA,8,18,0.22446638907037386,4.870421000000533
0,ICA,8,19,0.23445754760527476,7.073049900000115
0,ICA,9,1,0.0,0.11635960000057821
0,ICA,9,2,0.07432429924477044,0.445381699999416
0,ICA,9,3,0.08092564299795652,3.148456900000383
0,ICA,9,4,0.09725766208986912,1.4153385999998136
0,ICA,9,5,0.12293487817142801,1.8369103999993968
0,ICA,9,6,0.1481544422921836,2.7287317000009352
0,ICA,9,7,0.1304482045883613,6.023758299999827
0,ICA,9,8,0.14827698546254373,8.545588800001497
0,ICA,9,9,0.16522070568370695,6.995443600000726
0,ICA,9,10,0.17421882458229765,1.1456765000002633
0,ICA,9,11,0.1851226954306525,1.8181261999998242
0,ICA,9,12,0.1927128183973414,2.174183199998879
0,ICA,9,13,0.19322050583666647,1.758059099998718
0,ICA,9,14,0.19982208349736005,2.027214100000492
0,ICA,9,15,0.20762580911608436,10.657696399999622
0,ICA,9,16,0.20789500906031125,40.700057000000015
0,ICA,9,17,0.2108133681320899,32.105043899999146
0,ICA,9,18,0.21861684586200653,35.991620000000694
0,ICA,9,19,0.22708432716101762,30.76521800000046
0,ICA,10,1,0.0,0.4968905999994604
0,ICA,10,2,0.018416436388406968,2.3556631000010384
0,ICA,10,3,0.1301792234508464,1.5672572000003129
0,ICA,10,4,0.10070506255113289,2.778164499999548
0,ICA,10,5,0.11273887331865473,4.610789999998815
0,ICA,10,6,0.1250594534777398,7.091125999999349
0,ICA,10,7,0.1474936071548177,7.294242500000109
0,ICA,10,8,0.16184648495866588,7.347155099998417
0,ICA,10,9,0.1539462115879763,11.870408200000384
0,ICA,10,10,0.16381331051063094,13.550517100000434
0,ICA,10,11,0.1605863824393643,13.963076000000001
